Player,GP,AB,R,AVG,OBP,1B,2B,3B,HR,TH,BB,HBP,S,SF,RBI,SO,SB,CS,ROE,FC
Player JA,27,53,5,0.132,0.203,6,1,-,-,7,5,-,-,1,6,14,3,2,-,-
Player JB,29,60,4,0.167,0.25,7,1,2,-,10,6,1,-,1,4,14,7,1,2,-
Player SCa,29,75,22,0.373,0.402,25,3,-,-,28,4,1,-,2,7,10,10,-,-,3
Player SCl,19,40,6,0.275,0.293,11,-,-,-,11,1,-,-,-,3,11,3,-,1,1
Player KD,22,42,4,0.262,0.311,10,1,-,-,11,3,-,-,-,2,9,3,-,-,1
Player SD,28,53,6,0.302,0.362,15,1,-,-,16,5,-,-,-,4,2,4,-,2,2
Player AK,29,76,13,0.303,0.354,21,1,1,-,23,5,1,-,-,7,13,3,1,1,-
Player NM,24,51,6,0.314,0.333,15,1,-,-,16,2,-,-,1,2,8,7,-,2,-
Player AM,30,75,13,0.333,0.412,22,2,1,-,25,9,1,-,-,10,16,7,2,-,-
Player MR,23,62,12,0.323,0.382,13,6,1,-,20,5,1,-,-,9,8,7,-,2,1
Player SR,30,73,13,0.315,0.359,22,1,-,-,23,4,1,-,-,8,10,6,1,1,-
Player MS,27,64,16,0.344,0.4,17,4,1,-,22,5,1,-,-,4,19,8,1,1,-
Player VT,25,68,17,0.529,0.542,22,9,4,1,36,3,-,-,1,13,9,12,-,-,-
